ablation,setting,seed,survivable,latency,lam2,energy,budget
B_weight,W=5,6,0.9851851851851852,,0.055156020274560486,,
C_budget,frac=0.025,6,0.9333333333333333,,,0.3634261423909063,0.3650778781596201
C_budget,frac=0.035,6,0.9037037037037037,,,0.4730350186791855,0.5111090294234681
C_budget,frac=0.05,6,1.0,,,0.6921612403400546,0.7301557563192402
C_budget,frac=0.07,6,1.0,,,1.0145434957628463,1.0222180588469363
A_components,none,9,0.9852941176470589,39,,,
A_components,warm-start,9,0.9926470588235294,25,,,
A_components,warm-start+pull,9,1.0,38,,,
B_weight,W=0,9,1.0,,0.03067385278453293,,
B_weight,W=1,9,1.0,,0.04039379770053698,,
B_weight,W=2,9,1.0,,0.05327467446505597,,
B_weight,W=5,9,1.0,,0.05487371658114336,,
C_budget,frac=0.025,9,1.0,,,0.34858503189759227,0.3499339505560224
C_budget,frac=0.035,9,1.0,,,0.4352269492939633,0.4899075307784314
C_budget,frac=0.05,9,1.0,,,0.692881501536786,0.6998679011120448
C_budget,frac=0.07,9,1.0,,,0.979603418414997,0.9798150615568628
A_components,none,7,0.9705882352941176,120,,,
A_components,warm-start,7,0.9926470588235294,120,,,
A_components,warm-start+pull,7,0.9632352941176471,112,,,
B_weight,W=0,7,0.9632352941176471,,0.04054454189363255,,
B_weight,W=1,7,0.9632352941176471,,0.04054454189363255,,
B_weight,W=2,7,0.9632352941176471,,0.04054454189363255,,
B_weight,W=5,7,0.9632352941176471,,0.04054454189363255,,
C_budget,frac=0.025,7,0.9632352941176471,,,0.4680295791220659,0.34900781762409444
C_budget,frac=0.035,7,0.9632352941176471,,,0.4680295791220659,0.48861094467373223
C_budget,frac=0.05,7,0.9632352941176471,,,0.6877367618698813,0.6980156352481889
C_budget,frac=0.07,7,1.0,,,0.9607926026758176,0.9772218893474645
A_components,none,11,0.9477611940298507,71,,,
A_components,warm-start,11,0.9477611940298507,64,,,
A_components,warm-start+pull,11,1.0,28,,,
B_weight,W=0,11,1.0,,0.039560687850665695,,
B_weight,W=1,11,1.0,,0.04109126536786463,,
B_weight,W=2,11,1.0,,0.04109126536786463,,
B_weight,W=5,11,1.0,,0.04466332739947482,,
C_budget,frac=0.025,11,0.8582089552238806,,,0.33400348355707443,0.3522649734168616
C_budget,frac=0.035,11,1.0,,,0.4893408171889939,0.4931709627836062
C_budget,frac=0.05,11,1.0,,,0.696487627548872,0.7045299468337232
C_budget,frac=0.07,11,1.0,,,0.9838584027707593,0.9863419255672125
A_components,none,8,0.625,120,,,
A_components,warm-start,8,0.625,120,,,
A_components,warm-start+pull,8,0.9779411764705882,120,,,
B_weight,W=0,8,0.9779411764705882,,0.03563913985933859,,
B_weight,W=1,8,0.9779411764705882,,0.03563913985933859,,
B_weight,W=2,8,0.9779411764705882,,0.03563913985933859,,
B_weight,W=5,8,0.9779411764705882,,0.03563913985933859,,
C_budget,frac=0.025,8,0.9779411764705882,,,0.9620304831353845,0.3900244909381558
C_budget,frac=0.035,8,0.9779411764705882,,,0.9620304831353845,0.5460342873134181
C_budget,frac=0.05,8,0.9779411764705882,,,0.9620304831353845,0.7800489818763116
C_budget,frac=0.07,8,1.0,,,1.0647286533234173,1.0920685746268362
A_components,none,10,0.9779411764705882,87,,,
A_components,warm-start,10,0.9779411764705882,120,,,
A_components,warm-start+pull,10,0.9779411764705882,120,,,
B_weight,W=0,10,0.9779411764705882,,0.01997356797758277,,
B_weight,W=1,10,0.9779411764705882,,0.01997356797758277,,
B_weight,W=2,10,0.9779411764705882,,0.01997356797758277,,
B_weight,W=5,10,0.9779411764705882,,0.01997356797758277,,
C_budget,frac=0.025,10,0.9779411764705882,,,0.6143820541427273,0.3372271330391936
C_budget,frac=0.035,10,0.9779411764705882,,,0.6143820541427273,0.4721179862548711
C_budget,frac=0.05,10,0.9852941176470589,,,0.6608469459896464,0.6744542660783872
C_budget,frac=0.07,10,0.9926470588235294,,,0.8831338889123515,0.9442359725097422
A_components,none,12,0.7573529411764706,19,,,
A_components,warm-start,12,0.75,120,,,
A_components,warm-start+pull,12,0.9485294117647058,67,,,
B_weight,W=0,12,0.9705882352941176,,0.015916381786285218,,
B_weight,W=1,12,0.9485294117647058,,0.024182007067958856,,
B_weight,W=2,12,0.9485294117647058,,0.024182007067958856,,
B_weight,W=5,12,0.9411764705882353,,0.030902995845531883,,
C_budget,frac=0.025,12,0.8823529411764706,,,0.3432819347347298,0.3645282851523264
C_budget,frac=0.035,12,0.9485294117647058,,,0.49766723503775373,0.510339599213257
C_budget,frac=0.05,12,0.9926470588235294,,,0.7154913507789687,0.7290565703046528
C_budget,frac=0.07,12,1.0,,,1.0017453685654827,1.020679198426514
A_components,none,13,1.0,46,,,
A_components,warm-start,13,0.8962962962962963,48,,,
A_components,warm-start+pull,13,1.0,64,,,
B_weight,W=0,13,1.0,,0.017554330326816154,,
B_weight,W=1,13,1.0,,0.03807901236989049,,
B_weight,W=2,13,1.0,,0.03807901236989049,,
B_weight,W=5,13,1.0,,0.04673480868316245,,
C_budget,frac=0.025,13,0.45185185185185184,,,0.3505642072689939,0.3632843547937765
C_budget,frac=0.035,13,1.0,,,0.4874890260235818,0.5085980967112871
C_budget,frac=0.05,13,1.0,,,0.7074802578442455,0.726568709587553
C_budget,frac=0.07,13,1.0,,,0.9893702351596101,1.0171961934225742
A_components,none,16,0.8602941176470589,49,,,
A_components,warm-start,16,0.8602941176470589,120,,,
A_components,warm-start+pull,16,0.9117647058823529,120,,,
B_weight,W=0,16,0.9117647058823529,,0.01609508683991925,,
B_weight,W=1,16,0.9117647058823529,,0.01609508683991925,,
B_weight,W=2,16,0.9117647058823529,,0.01609508683991925,,
B_weight,W=5,16,0.9117647058823529,,0.01609508683991925,,
C_budget,frac=0.025,16,0.9117647058823529,,,0.5645768380880579,0.3673479246820359
C_budget,frac=0.035,16,0.9117647058823529,,,0.5645768380880579,0.5142870945548502
C_budget,frac=0.05,16,1.0,,,0.717278206477278,0.7346958493640718
C_budget,frac=0.07,16,1.0,,,0.9990816952301418,1.0285741891097004
A_components,none,14,0.9925925925925926,36,,,
A_components,warm-start,14,0.9925925925925926,27,,,
A_components,warm-start+pull,14,1.0,28,,,
