method,seed,gw_survivable,energy,edges,latency
greedy-conn,37,0.9954128440366973,1.0805856112083803,62,62
QIEA+AI,38,0.8119266055045872,3.3385350408694987,127,120
QIEA-noAI,38,0.8073394495412844,3.1947995279427883,126,120
GA,38,0.8899082568807339,3.0614659029484703,123,79
SA,38,0.8119266055045872,3.050124181301336,131,2670
greedy,38,0.7660550458715596,0.05893366892603257,3,3
greedy-conn,38,0.9862385321100917,1.6013892558000777,87,87
QIEA+AI,39,0.8761467889908257,3.460036019387948,130,120
QIEA-noAI,39,0.7844036697247706,3.423777017026562,134,120
GA,39,0.9174311926605505,3.116398471124322,125,55
SA,39,0.8577981651376146,3.112631917426113,136,2546
greedy,39,0.7752293577981652,0.07128077938233521,3,3
greedy-conn,39,1.0,1.5621991577553467,82,82
QIEA+AI,40,0.8761467889908257,3.5089724360982877,131,120
QIEA-noAI,40,0.8348623853211009,3.332787627319092,126,120
GA,40,0.9220183486238532,3.2037824061141325,129,68
SA,40,0.9036697247706422,3.1986208796109556,142,2435
greedy,40,0.7935779816513762,0.05398084773258457,3,3
greedy-conn,40,1.0,1.3309044215304244,71,71
QIEA+AI,41,0.8623853211009175,3.9626032690115665,153,120
QIEA-noAI,41,0.7935779816513762,4.1561133951586875,155,120
GA,41,0.8899082568807339,3.32257589808164,130,69
SA,41,0.8348623853211009,3.3605212001289395,140,0
greedy,41,0.7798165137614679,0.16093828838485572,6,6
greedy-conn,41,1.0,1.4524993977546738,81,81
QIEA+AI,43,0.926605504587156,3.8072859951103624,148,120
QIEA-noAI,43,0.9036697247706422,3.7309996534767746,141,120
GA,43,0.9587155963302753,3.1451392301751127,131,61
SA,43,0.9174311926605505,3.1511873170895055,138,0
greedy,43,0.8302752293577982,0.09929539691034753,4,4
greedy-conn,43,0.9954128440366973,1.065468154773432,60,60
QIEA+AI,42,0.8486238532110092,3.8693217178170882,146,120
QIEA-noAI,42,0.7981651376146789,3.5980764372988765,136,120
GA,42,0.8807339449541285,3.2420067064356686,134,68
SA,42,0.8302752293577982,3.2479624669023623,137,3027
greedy,42,0.7247706422018348,0.039267096070310606,2,2
greedy-conn,42,0.9954128440366973,1.7159405538683283,97,97
QIEA+AI,44,0.9403669724770642,3.9690828669678644,151,120
QIEA-noAI,44,0.8302752293577982,3.6368458099107626,138,120
GA,44,0.9495412844036697,3.217173235845033,132,60
SA,44,0.8899082568807339,3.2145571121927077,137,2497
greedy,44,0.8073394495412844,0.07100075400042018,3,3
greedy-conn,44,1.0,1.2345160595597895,68,68
QIEA+AI,46,0.8990825688073395,3.709464100229692,144,120
QIEA-noAI,46,0.8853211009174312,3.6385727231027287,139,120
GA,46,0.9403669724770642,3.173284945544212,124,53
SA,46,0.8990825688073395,3.1973828077108233,131,0
greedy,46,0.8211009174311926,0.037051378706903754,2,2
greedy-conn,46,1.0,1.2604034809282303,67,67
QIEA+AI,45,0.8990825688073395,3.1339957098320466,119,79
QIEA-noAI,45,0.8623853211009175,3.087903758791854,112,110
GA,45,0.9724770642201835,3.153622760181172,128,54
SA,45,0.8944954128440367,3.16798302682391,136,2745
greedy,45,0.027522935779816515,0.0,0,0
greedy-conn,45,1.0,1.2820178779369091,73,73
QIEA+AI,47,0.8119266055045872,3.450919837957495,143,120
QIEA-noAI,47,0.8715596330275229,3.630435069846438,139,120
GA,47,0.9220183486238532,3.079138893789696,119,51
SA,47,0.8990825688073395,3.081138501459095,131,2341
greedy,47,0.7201834862385321,0.03469679789305856,2,2
greedy-conn,47,1.0,1.284377420666118,71,71
QIEA+AI,48,0.8761467889908257,3.4105253614115565,131,120
QIEA-noAI,48,0.8119266055045872,3.1718191398762383,125,120
GA,48,0.8990825688073395,3.0701994785182407,129,71
SA,48,0.8853211009174312,3.0656661443423556,128,2399
greedy,48,0.8027522935779816,0.10897370765172376,5,5
greedy-conn,48,1.0,1.19644676823133,68,68
QIEA+AI,49,0.9220183486238532,4.5645529078723825,172,120
QIEA-noAI,49,0.8944954128440367,4.913852034369203,193,120
GA,49,0.926605504587156,3.196403849197657,123,66
SA,49,0.8715596330275229,3.1869752191510363,137,2435
greedy,49,0.7935779816513762,0.02031373958359923,1,1
greedy-conn,49,1.0,1.323407816382155,74,74
